Location,Core name,Lat,Lon,Water Depth,Average oxygen (umol/kg),Average oxygen (umol/kg) 1stdev,Cib Species,Globobulimina species,Ddl3C,Ddl3C 1stdev,type,reference,[NO3][µmol/kg],[PO4][µmol/kg],TOC [%],CaCO3 [%],outlier,Age,Age source,O2,O2_sd,dd13C,dd13C_sd,water_depth,NO3,PO4,Group,is_foram_only,is_outlier,low_o2,is_sub,complete_core,use_all_calib,use_sub_calib,calibration_decision
Pacific,KNR195-5-MC-9B,-0.826,-87.908167,1563,82.51,0.8,C.wuellerstorfi,G.affinis,0.814833333333333,0.10455508914762,epifaunal and deep infaunal benthic foraminifera,"Lu et al., 2026",39.906,2.905,NA,NA,0,NA,NA,82.51,0.8,0.814833333333333,0.10455508914762,1563,39.906,2.905,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
Pacific,KNR195-5-MC-33B,-3.223583,-82.914167,2949,134,3.6,C.wuellerstorfi,G.affinis,1.1865,0.262607121000173,epifaunal and deep infaunal benthic foraminifera,"Lu et al., 2026",38.119,2.659,NA,NA,0,NA,NA,134,3.6,1.1865,0.262607121000173,2949,38.119,2.659,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
"North
Atlantic",K-104-10-1,41.5,-64,3000,275,2,NA,NA,4.24,0.33,"bottom and pore
water","McCorkle and Emerson
(1988)",18.135,1.164,NA,NA,0,NA,NA,275,2,4.24,0.33,3000,18.135,1.164,Other,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
"North
Atlantic",K-104-10-3,42,-65,1575,270,1,NA,NA,3.62,0.19,"bottom and pore
water","McCorkle and Emerson
(1988)",NA,NA,NA,NA,0,NA,NA,270,1,3.62,0.19,1575,NA,NA,Other,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
North Atlantic,K-104-10-4,42,-65,1075,267,1,NA,NA,3.67,0.13,bottom and pore water,McCorkle and Emerson (1988),NA,NA,NA,NA,0,NA,NA,267,1,3.67,0.13,1075,NA,NA,BPW,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
North Atlantic,Site B,57.4,-15.7,1104,233,7,NA,NA,2.25,0.07,bottom and pore water,"Papadimitriou et al. (2004); assumed 13C 1‰ bottom water from nearby GLODAP
data ~ 1000 m water depth. 0.2‰ uncertainty added",NA,NA,NA,NA,0,NA,NA,233,7,2.25,0.07,1104,NA,NA,BPW,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
Eastern Pacific,TT-163-10,24.5,-114,3480,127,5,NA,NA,1.36,0.03,bottom and pore water,McCorkle and Emerson (1988),NA,NA,NA,NA,0,NA,NA,127,5,1.36,0.03,3480,NA,NA,BPW,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
Eastern Pacific,"MANOP
Site M BC- 20",9,-104,3100,114,4,NA,NA,1.33,0,bottom and pore water,McCorkle and Emerson (1988),NA,NA,NA,NA,0,NA,NA,114,4,1.33,0,3100,NA,NA,BPW,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
North Atlantic,Station A,44.2,-2.3,1012,188,1,NA,"bottom water and
G. affinis (RB stained)",2.03,0,"bottom water and
Globobulimina (spp.)",Fontanier et al. (2006),NA,NA,NA,NA,0,NA,NA,188,1,2.03,0,1012,NA,NA,BWG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
North Atlantic,Station H,44.5,-2.6,1993,256,0,NA,"bottom water and
G. affinis (RB stained)",3.26,0,"bottom water and
Globobulimina (spp.)",Fontanier et al. (2006),NA,NA,NA,NA,0,NA,NA,256,0,3.26,0,1993,NA,NA,BWG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
North Atlantic,K-104-10-1 (2),41.5,-64,2975,272,4,NA,"bottom water and stained)
G. affinis (RB",3.91,0,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1990,NA,NA,NA,NA,0,NA,NA,272,4,3.91,0,2975,NA,NA,BWG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
North Atlantic,K-104-10-2 (1),42,-64.7,2225,270,3,NA,"bottom water and
G. affinis (RB stained)",3.1,0.07,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1990,NA,NA,NA,NA,0,NA,NA,270,3,3.1,0.07,2225,NA,NA,BWG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
North Atlantic,K-104-10-3 (1),42,-65,1575,270,1,NA,"bottom water and
G. affinis (RB stained)",2.88,0.2,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1990,NA,NA,NA,NA,0,NA,NA,270,1,2.88,0.2,1575,NA,NA,BWG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
North Atlantic,K-104-10-3 (2),42,-65,1575,270,1,NA,"bottom water and
G. affinis (RB stained)",2.96,0.07,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1990,NA,NA,NA,NA,0,NA,NA,270,1,2.96,0.07,1575,NA,NA,BWG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
North Atlantic,K-104-10-4 (1),42,-65,1075,267,1,NA,"bottom water and
G. affinis (RB stained)",2.47,0,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1990,NA,NA,NA,NA,0,NA,NA,267,1,2.47,0,1075,NA,NA,BWG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
North Atlantic,"CH14 1(1)
and (2)",38.233,-71.5,3000,269,4,NA,"bottom water and
G. affinis (RB stained)",3.56,0,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1990,NA,NA,NA,NA,0,NA,NA,269,4,3.56,0,3000,NA,NA,BWG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
North Atlantic,Gyre 2-3,38.6,-72.9,2020,263,1,NA,"bottom water and
G. affinis (RB stained)",2.76,0.11,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1990,NA,NA,NA,NA,0,NA,NA,263,1,2.76,0.11,2020,NA,NA,BWG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
North Atlantic,86/2:7-4:22,38.22,-71.5,3000,270,2,NA,"bottom water and
G. affinis (RB stained)",3.39,0.02,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1990,NA,NA,NA,NA,0,NA,NA,270,2,3.39,0.02,3000,NA,NA,BWG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
North Atlantic,86-G-14,14.67,-17.83,1332,185,2,NA,"bottom water and
G. affinis (RB stained)",1.99,0,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1990,NA,NA,NA,NA,0,NA,NA,185,2,1.99,0,1332,NA,NA,BWG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
North Atlantic,CH90-BC5,35.65,-74.84,1477,264,5,NA,"bottom water and
G. affinis (RB stained)",2.28,0,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1997,NA,NA,NA,NA,0,NA,NA,264,5,2.28,0,1477,NA,NA,BWG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
South Indian,AUSCAN MC05,-36.73,136.55,2476,179,2,NA,"bottom water and
G. pacifica (RB stained)",1.98,0.29,"bottom water and
Globobulimina (spp.)",Basak et al. (2009),NA,NA,NA,NA,0,NA,NA,179,2,1.98,0.29,2476,NA,NA,BWG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
South Indian,AUSCAN MC04,-36.81,136.82,1634,167,3,NA,"bottom water and
G. pacifica (RB stained)",1.6,0,"bottom water and
Globobulimina (spp.)",Basak et al. (2009),NA,NA,NA,NA,0,NA,NA,167,3,1.6,0,1634,NA,NA,BWG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
North Pacific,JD88TC37,53.617,-163.21,1988,62,3,NA,"bottom water and
G. pacifica (RB stained)",0.82,0.16,"bottom water and
Globobulimina (spp.)",Basak et al. (2009),NA,NA,NA,NA,0,NA,NA,62,3,0.82,0.16,1988,NA,NA,BWG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
North Pacific,SCB-BC-3,32.5,-118,1800,56,0,NA,"bottom water and
G. affinis (live)",0.84,0.3,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1990,NA,NA,NA,NA,0,NA,NA,56,0,0.84,0.3,1800,NA,NA,BWG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
North Pacific,PSII-BC227,35.47,-122.35,3807,137,6,NA,"bottom water and
G. pacifica (live)",1.44,0.12,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1997,NA,NA,NA,NA,0,NA,NA,137,6,1.44,0.12,3807,NA,NA,BWG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
North Atlantic,Station I,44.8,-2.5,2800,246,4,NA,"bottom water and
G. affinis (RB stained)",2.66,0.04,"bottom water and
Globobulimina (spp.)",Fontanier et al. (2008),NA,NA,NA,NA,0,NA,NA,246,4,2.66,0.04,2800,NA,NA,BWG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,not_foram_only
