Location,Core name,Lat,Lon,O2,O2_sd,Cib Species,Globobulimina species,dd13C,dd13C_sd,type,reference,Group,is_outlier,low_o2,is_foram_only,use_all_calib,use_sub_calib,calibration_decision
North Atlantic,"CH14 1(1)
and (2)",38.233,-71.5,269,4,NA,"bottom water and
G. affinis (RB stained)",3.56,0,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1990,BWG,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
North Atlantic,Gyre 2-3,38.6,-72.9,263,1,NA,"bottom water and
G. affinis (RB stained)",2.76,0.11,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1990,BWG,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
North Atlantic,86/2:7-4:22,38.22,-71.5,270,2,NA,"bottom water and
G. affinis (RB stained)",3.39,0.02,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1990,BWG,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
North Atlantic,86-G-14,14.67,-17.83,185,2,NA,"bottom water and
G. affinis (RB stained)",1.99,0,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1990,BWG,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
North Atlantic,CH90-BC5,35.65,-74.84,264,5,NA,"bottom water and
G. affinis (RB stained)",2.28,0,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1997,BWG,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
South Indian,AUSCAN MC05,-36.73,136.55,179,2,NA,"bottom water and
G. pacifica (RB stained)",1.98,0.29,"bottom water and
Globobulimina (spp.)",Basak et al. (2009),BWG,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
South Indian,AUSCAN MC04,-36.81,136.82,167,3,NA,"bottom water and
G. pacifica (RB stained)",1.6,0,"bottom water and
Globobulimina (spp.)",Basak et al. (2009),BWG,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
North Pacific,JD88TC37,53.617,-163.21,62,3,NA,"bottom water and
G. pacifica (RB stained)",0.82,0.16,"bottom water and
Globobulimina (spp.)",Basak et al. (2009),BWG,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
North Pacific,SCB-BC-3,32.5,-118,56,0,NA,"bottom water and
G. affinis (live)",0.84,0.3,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1990,BWG,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
North Pacific,PSII-BC227,35.47,-122.35,137,6,NA,"bottom water and
G. pacifica (live)",1.44,0.12,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1997,BWG,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
North Atlantic,Station I,44.8,-2.5,246,4,NA,"bottom water and
G. affinis (RB stained)",2.66,0.04,"bottom water and
Globobulimina (spp.)",Fontanier et al. (2008),BWG,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
